dict_values(['451\n', '﹊ゞ雅薇。', '3', '8', '453\n', '辽宁 大连', 'http://www.huajiao.com/user/143360200', '花椒号：143360200', 'http://www.huajiao.com/l/197047998', '72万\n', '8364\n'])
dict_values(['773\n', '文软软♡', '7', '8', '236\n', '河南省 郑州市', 'http://www.huajiao.com/user/152040825', '花椒号：152040825', 'http://www.huajiao.com/l/197042270', '269万\n', '25143\n'])
dict_values(['531\n', '主持人乔维', '颜值', '6', '0\n', '辽宁 沈阳', 'http://www.huajiao.com/user/52803013', '花椒号：52803013', 'http://www.huajiao.com/l/197051143', '229万\n', '13484\n'])
dict_values(['710\n', 'FM90.3~老代', '9', '13', '2936\n', '吉林 吉林', 'http://www.huajiao.com/user/120345916', '花椒号：120345916', 'http://www.huajiao.com/l/197054897', '142万\n', '12791\n'])
dict_values(['835\n', '阿楚⚜️', '10', '13', '2848\n', '江苏省 苏州市', 'http://www.huajiao.com/user/82219009', '花椒号：82219009', 'http://www.huajiao.com/l/197038490', '98万\n', '88888\n'])
dict_values(['259\n', '张芯Melanie', '3', '16', '10593\n', '北京', 'http://www.huajiao.com/user/23751453', '花椒号：23751453', 'http://www.huajiao.com/l/197037992', '19万\n', '15490\n'])
dict_values(['958\n', '鱿鱼英子🏝', '7', '9', '746\n', '广西壮族自治区 柳州市', 'http://www.huajiao.com/user/146074995', '花椒号：146074995', 'http://www.huajiao.com/l/197055221', '632万\n', '14万\n'])
dict_values(['567\n', '音乐人🎤张碧茜', '4', '7', '316\n', '海南省 海口市', 'http://www.huajiao.com/user/148993064', '花椒号：148993064', 'http://www.huajiao.com/l/197050825', '215万\n', '13万\n'])
dict_values(['953\n', '我是杨乖乖', '8', '11', '623\n', '江苏 南京', 'http://www.huajiao.com/user/119049140', '花椒号：119049140', 'http://www.huajiao.com/l/197032223', '344万\n', '56920\n'])
dict_values(['485\n', None, '5', '9', '376\n', '江苏省 南京市', 'http://www.huajiao.com/user/152309091', '花椒号：152309091', 'http://www.huajiao.com/l/197052057', '1135万\n', '77795\n'])
dict_values(['646\n', '伊赟舞蹈演员', '3', '8', '345\n', '北京 东城', 'http://www.huajiao.com/user/149134282', '花椒号：149134282', 'http://www.huajiao.com/l/197052622', '79万\n', '15321\n'])
dict_values(['276\n', '💃💃颂乐', '跳舞', '5', '57\n', '黑龙江 哈尔滨', 'http://www.huajiao.com/user/152300151', '花椒号：152300151', 'http://www.huajiao.com/l/197054719', '133万\n', '6558\n'])
dict_values(['996\n', '颜未央💋', '13', '13', '2410\n', '上海 宝山', 'http://www.huajiao.com/user/130360527', '花椒号：130360527', 'http://www.huajiao.com/l/197047626', '441万\n', '79322\n'])
dict_values(['800\n', '歌者__鬼鬼💃🏻💃🏻🎤🎤', '9', '10', '711\n', '辽宁省 沈阳市', 'http://www.huajiao.com/user/134663558', '花椒号：134663558', 'http://www.huajiao.com/l/197051175', '461万\n', '13万\n'])
dict_values(['633\n', '薄荷朱莉.', '7', '9', '357\n', '贵州 安顺', 'http://www.huajiao.com/user/149455269', '花椒号：149455269', 'http://www.huajiao.com/l/197049019', '164万\n', '13万\n'])
dict_values(['519\n', '福州高圆圆', '6', '8', '980\n', '福建 福州', 'http://www.huajiao.com/user/51752692', '花椒号：51752692', 'http://www.huajiao.com/l/197049465', '109万\n', '10万\n'])
dict_values(['303\n', '小慢_🐈', '3', '11', '2765\n', '广东 深圳', 'http://www.huajiao.com/user/136530703', '花椒号：136530703', 'http://www.huajiao.com/l/197053630', '34万\n', '67355\n'])
dict_values(['932\n', '美大圣...', '10', '13', '2140\n', '未知星球', 'http://www.huajiao.com/user/112571145', '花椒号：112571145', 'http://www.huajiao.com/l/197045506', '29万\n', '66791\n'])
dict_values(['612\n', 'A. 我是大琪琪呀🎈', '8', '11', '1380\n', '河北省 唐山市', 'http://www.huajiao.com/user/92982241', '花椒号：92982241', 'http://www.huajiao.com/l/197050854', '75万\n', '46261\n'])
dict_values(['958\n', '@浩艺', '12', '14', '5975\n', '吉林 长春', 'http://www.huajiao.com/user/31496378', '花椒号：31496378', 'http://www.huajiao.com/l/197040044', '130万\n', '63931\n'])
dict_values(['477\n', '子凌吖', '唱歌', '5', '0\n', '未知星球', 'http://www.huajiao.com/user/150039157', '花椒号：150039157', 'http://www.huajiao.com/l/197053779', '55658\n', '15780\n'])
dict_values(['580\n', '💕萌萌哒小瑜儿💕', '颜值', '5', '0\n', '广东 广州', 'http://www.huajiao.com/user/151601297', '花椒号：151601297', 'http://www.huajiao.com/l/197049975', '94万\n', '67416\n'])
dict_values(['611\n', '🌸若璃🌸💋', '3', '7', '61\n', '未知星球', 'http://www.huajiao.com/user/85605870', '花椒号：85605870', 'http://www.huajiao.com/l/197056444', '107万\n', '62465\n'])
dict_values(['524\n', '安容♥︎以沫', '6', '9', '217\n', '湖南 长沙', 'http://www.huajiao.com/user/82383395', '花椒号：82383395', 'http://www.huajiao.com/l/197027195', '18万\n', '17476\n'])
dict_values(['476\n', '大漂亮\ue347', '8', '9', '167\n', '黑龙江 鸡西', 'http://www.huajiao.com/user/152388624', '花椒号：152388624', 'http://www.huajiao.com/l/197045371', '42万\n', '10570\n'])
dict_values(['196\n', '👑宫宫', '颜值', '2', '0\n', '上海', 'http://www.huajiao.com/user/27379134', '花椒号：27379134', 'http://www.huajiao.com/l/197053492', '6428\n', '6156\n'])
dict_values(['573\n', '原来是小鹤一呀！', '3', '9', '827\n', '黑龙江 哈尔滨', 'http://www.huajiao.com/user/112455391', '花椒号：112455391', 'http://www.huajiao.com/l/197049649', '501万\n', '76102\n'])
dict_values(['984\n', '💗桃子酱💗', '13', '14', '4373\n', '未知星球', 'http://www.huajiao.com/user/134641641', '花椒号：134641641', 'http://www.huajiao.com/l/197034373', '28万\n', '55万\n'])
dict_values(['381\n', '涵涵cc', '2', '8', '320\n', '吉林省 长春市', 'http://www.huajiao.com/user/151466373', '花椒号：151466373', 'http://www.huajiao.com/l/197054847', '71026\n', '28489\n'])
dict_values(['460\n', '熹止', '4', '9', '95\n', '浙江 杭州', 'http://www.huajiao.com/user/150811866', '花椒号：150811866', 'http://www.huajiao.com/l/197054763', '117万\n', '40456\n'])
dict_values(['362\n', '莎莎(*Ü*)ﾉ☀', '清纯', '5', '32\n', '吉林 长春', 'http://www.huajiao.com/user/112717695', '花椒号：112717695', 'http://www.huajiao.com/l/197051828', '28955\n', '3483\n'])
dict_values(['101\n', '新人十二前来报道', '颜值', '1', '0\n', '江苏省 无锡市', 'http://www.huajiao.com/user/103289124', '花椒号：103289124', 'http://www.huajiao.com/l/197056776', '63万\n', '4442\n'])
dict_values(['992\n', 'Andy🍒.', '12', '18', '3405\n', '江苏省 淮安市', 'http://www.huajiao.com/user/122146791', '花椒号：122146791', 'http://www.huajiao.com/l/197050777', '37万\n', '10万\n'])
dict_values(['722\n', '污怼怼就是芥末呀', '4', '8', '265\n', '山东省 济南市', 'http://www.huajiao.com/user/148905265', '花椒号：148905265', 'http://www.huajiao.com/l/197040215', '242万\n', '63060\n'])
